play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count;act_num;scene_num
Henry V;H5 II.ii;4;Bedford, Cambridge, Exeter, Grey, King Henry, Scroop, Westmorland;yes;7;2;2
Henry V;H5 II.iii;5;Bardolph, Boy, Hostess, Nym, Pistol;no;5;2;3
Henry V;H5 II.iv;6;Berri, Britaine, Constable, Dauphin, Exeter, French King, Messenger;yes;7;2;4
Henry V;H5 III.i;7;Exeter, Gloucester, King Henry;yes;3;3;1
Henry V;H5 III.ii;8;Bardolph, Boy, Fluellen, Gower, Jamy, Macmorris, Nym, Pistol;no;8;3;2
Henry V;H5 III.iii;9;Exeter, Governor, King Henry;yes;3;3;3
Henry V;H5 III.iv;10;Alice, Katherine;no;2;3;4
Henry V;H5 III.v;11;Britaine, Constable, Dauphin, French King,;yes;4;3;5
Henry V;H5 III.vi;12;Fluellen, Gloucester, Gower, King Henry, Montjoy, Pistol;yes;6;3;6
Henry V;H5 III.vii;13;Constable, Dauphin, Messenger, Orleans, Rambures;yes;5;3;7
Henry V;H5 IV.i;14;Bates, Bedford, Court, Erpingham, Fluellen, Gloucester, Gower, King Henry, Pistol, Williams;no;10;4;1
Henry V;H5 IV.ii;15;Constable, Dauphin, Grandpre, Messenger, Orleans, Rambures;yes;6;4;2
Henry V;H5 IV.iii;16;Bedford, Erpingham, Exeter, Gloucester, King Henry, Montjoy, Salisbury, Westmorland, York;yes;9;4;3
Henry V;H5 IV.iv;17;Boy, French Soldier, Pistol;no;3;4;4
Henry V;H5 IV.v;18;Bourbon, Constable, Dauphin, Orleans, Rambures;no;5;4;5
Henry V;H5 IV.vi;19;Exeter, King Henry;yes;2;4;6
Henry V;H5 IV.vii;20;Exeter, Fluellen, Gloucester, Gower, King Henry, Montjoy, Williams;yes;7;4;7
Henry V;H5 IV.viii;21;Fluellen, Gloucester, Gower, King Henry, Herald, Warwick, Williams;yes;7;4;8
Henry V;H5 V.i;22;Fluellen, Gower, Pistol;no;3;5;1
