play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Cymbeline;Cym III.ii;5;Innogen, Pisanio;no;2
Cymbeline;Cym III.iv;6;Innogen, Pisanio;no;2
Cymbeline;Cym I.iii;7;Cloten, First Lord, Second Lord;no;3
Cymbeline;Cym I.iv;8;Innogen, Lady, Pisanio;no;3
Cymbeline;Cym I.vii;9;Iachimo, Innogen, Pisanio;no;3
Cymbeline;Cym II.i;10;Cloten, First Lord, Second Lord;no;3
Cymbeline;Cym II.ii;11;Iachimo, Innogen, Lady;no;3
Cymbeline;Cym II.iv;12;Iachimo, Philario, Posthumus;no;3
Cymbeline;Cym III.iii;13;Arviragus, Belarius, Guiderius;no;3
Cymbeline;Cym III.viii;14;First Senator, Second Senator, First Tribune;yes;3
Cymbeline;Cym IV.iii;15;Cymbeline, First Lord, Pisanio;yes;3
Cymbeline;Cym IV.iv;16;Arviragus, Belarius, Guiderius;no;3
Cymbeline;Cym I.v;17;Frenchman, Iachimo, Philario, Posthumus;yes;4
Cymbeline;Cym I.vi;18;Cornelius, First Lady, Pisanio, Queen;yes;4
Cymbeline;Cym III.i;19;Cloten, Cymbeline, Lucius, Queen;yes;4
Cymbeline;Cym III.vii;20;Arviragus, Belarius, Guiderius, Innogen;no;4
Cymbeline;Cym I.ii;21;Cymbeline, Innogen, Pisanio, Posthumus, Queen;no;5
Cymbeline;Cym III.v;22;Attendant, Cloten, Cymbeline, Lucius, Queen;yes;5
Cymbeline;Cym V.ii;23;Arviragus, Belarius, Cymbeline, Guiderius, Iachimo, Lucius, Posthumus;yes;7
Cymbeline;Cym IV.ii;24;Arviragus, Belarius, Captain, Cloten, Guiderius, Innogen, Lucius, Soothsayer;no;8
Cymbeline;Cym V.iv;25;First Brother, Second Brother, First Gaoler, Second Gaoler, Jupiter, Messenger, Mothr, Posthumus, Sicilius;no;9
Cymbeline;Cym II.iii;26;Cloten, Cymbeline, Innogen, Lady, First Lord, Second Lord, Messenger, Pisanio, Queen, Song;no;10
Cymbeline;Cym V.iii;27;First Captain, Second Captain, Arviragus, Belarius, Cymbeline, Gaoler, Guiderius, Lord, Pisanio, Posthumus;yes;10
Cymbeline;Cym V.v;28;Arviragus, Belarius, Cornelius, Cymbeline, Guiderius, Iachimo, Innogen, Ladies, Lucius, Pisanio, Posthumus, Soothsayer;yes;12
Hamlet;Ham I.iii;1;Laertes, Ophelia, Polonius;no;3
Hamlet;Ham II.i;2;Ophelia, Polonius, Reynaldo;no;3
